Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,Ozone AQI Value,Main Pollutant,Site Name,Site ID,Source,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/2017,11,,Elizabeth Lab,34-039-0004,AQS,44,,Elizabeth Lab,34-039-0004,AQS,34,,Chester,34-027-3001,AQS,59,,Intermediate School 143,36-061-0115,AQS,4,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/2/2017,13,,Elizabeth,34-039-0003,AQS,43,,Bayonne,34-017-0006,AQS,33,,HOLTSVILLE,36-103-0009,AQS,60,,Elizabeth Lab,34-039-0004,AQS,17,,EISENHOWER PARK,36-059-0005,AQS,,,,,
1/3/2017,7,,Elizabeth,34-039-0003,AQS,42,,Elizabeth Lab,34-039-0004,AQS,32,,HOLTSVILLE,36-103-0009,AQS,43,,PS 19,36-061-0128,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/4/2017,6,,Jersey City,34-017-1002,AQS,27,,Fort Lee Near Road,34-003-0010,AQS,32,,Chester,34-027-3001,AQS,46,,PS 19,36-061-0128,AQS,3,,Chester,34-027-3001,AQS,7,,Newark Firehouse,34-013-0003,AQS
1/5/2017,6,,Jersey City,34-017-1002,AQS,28,,Jersey City,34-017-1002,AQS,32,,MILLBROOK,36-027-0007,AQS,49,,FRESHKILLS WEST,36-085-0111,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
1/6/2017,5,,Jersey City,34-017-1002,AQS,28,,Fort Lee Near Road,34-003-0010,AQS,31,,Chester,34-027-3001,AQS,53,,Intermediate School 143,36-061-0115,AQS,3,,IS 52,36-005-0110,AQS,,,,,
1/7/2017,6,,Elizabeth,34-039-0003,AQS,24,,Elizabeth Lab,34-039-0004,AQS,32,,Chester,34-027-3001,AQS,53,,PS 19,36-061-0128,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,16,,DIVISION STREET,36-061-0134,AQS
1/8/2017,5,,Elizabeth,34-039-0003,AQS,22,,Bayonne,34-017-0006,AQS,33,,Chester,34-027-3001,AQS,54,,Intermediate School 143,36-061-0115,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/9/2017,8,,Jersey City,34-017-1002,AQS,62,,Fort Lee Near Road,34-003-0010,AQS,30,,Chester,34-027-3001,AQS,52,,HOLTSVILLE,36-103-0009,AQS,6,,IS 52,36-005-0110,AQS,,,,,
1/10/2017,11,,Elizabeth,34-039-0003,AQS,57,,Elizabeth Lab,34-039-0004,AQS,36,,HOLTSVILLE,36-103-0009,AQS,57,,Newark Firehouse,34-013-0003,AQS,4,,IS 52,36-005-0110,AQS,24,,Newark Firehouse,34-013-0003,AQS
1/11/2017,10,,Elizabeth,34-039-0003,AQS,42,,PFIZER LAB SITE,36-005-0133,AQS,34,,HOLTSVILLE,36-103-0009,AQS,54,,PS 19,36-061-0128,AQS,3,,Newark Firehouse,34-013-0003,AQS,,,,,
1/12/2017,9,,Elizabeth,34-039-0003,AQS,41,,IS 52,36-005-0110,AQS,31,,Rutgers University,34-023-0011,AQS,56,,Intermediate School 143,36-061-0115,AQS,4,,IS 52,36-005-0110,AQS,,,,,
1/13/2017,6,,Jersey City,34-017-1002,AQS,25,,Jersey City,34-017-1002,AQS,40,,Chester,34-027-3001,AQS,44,,PS 19,36-061-0128,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,13,,Jersey City Firehouse,34-017-1003,AQS
1/14/2017,8,,Jersey City,34-017-1002,AQS,42,,Fort Lee Near Road,34-003-0010,AQS,31,,Chester,34-027-3001,AQS,44,,PS 19,36-061-0128,AQS,3,,EISENHOWER PARK,36-059-0005,AQS,,,,,
1/15/2017,6,,Newark Firehouse,34-013-0003,AQS,38,,QUEENS COLLEGE 2,36-081-0124,AQS,36,,Chester,34-027-3001,AQS,58,,Flemington,34-019-0001,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
1/16/2017,10,,Elizabeth,34-039-0003,AQS,47,,Elizabeth Lab,34-039-0004,AQS,31,,Chester,34-027-3001,AQS,62,,Jersey City Firehouse,34-017-1003,AQS,7,,PFIZER LAB SITE,36-005-0133,AQS,21,,Newark Firehouse,34-013-0003,AQS
1/17/2017,14,,Elizabeth,34-039-0003,AQS,45,,Fort Lee Near Road,34-003-0010,AQS,24,,MILLBROOK,36-027-0007,AQS,81,,Elizabeth Lab,34-039-0004,AQS,6,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/18/2017,9,,Elizabeth,34-039-0003,AQS,44,,Elizabeth Lab,34-039-0004,AQS,31,,HOLTSVILLE,36-103-0009,AQS,53,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,,,,,
1/19/2017,10,,Newark Firehouse,34-013-0003,AQS,36,,Bayonne,34-017-0006,AQS,24,,MILLBROOK,36-027-0007,AQS,49,,MORRISANIA,36-005-0080,AQS,3,,Jersey City,34-017-1002,AQS,11,,Jersey City Firehouse,34-017-1003,AQS
1/20/2017,10,,Jersey City,34-017-1002,AQS,37,,Jersey City,34-017-1002,AQS,23,,MILLBROOK,36-027-0007,AQS,56,,FRESHKILLS WEST,36-085-0111,AQS,7,,EISENHOWER PARK,36-059-0005,AQS,,,,,
1/21/2017,9,,Jersey City,34-017-1002,AQS,31,,Fort Lee Near Road,34-003-0010,AQS,13,,MILLBROOK,36-027-0007,AQS,64,,QUEENS COLLEGE 2,36-081-0124,AQS,1,,Jersey City,34-017-1002,AQS,,,,,
1/22/2017,13,,Elizabeth,34-039-0003,AQS,35,,Elizabeth Lab,34-039-0004,AQS,26,,HOLTSVILLE,36-103-0009,AQS,67,,Jersey City Firehouse,34-017-1003,AQS,3,,EISENHOWER PARK,36-059-0005,AQS,19,,Newark Firehouse,34-013-0003,AQS
1/23/2017,8,,Elizabeth,34-039-0003,AQS,26,,Elizabeth Lab,34-039-0004,AQS,36,,HOLTSVILLE,36-103-0009,AQS,34,,PS 19,36-061-0128,AQS,0,,Newark Firehouse,34-013-0003,AQS,,,,,
1/24/2017,3,,Newark Firehouse,34-013-0003,AQS,30,,Fort Lee Near Road,34-003-0010,AQS,36,,HOLTSVILLE,36-103-0009,AQS,30,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,,,,,
1/25/2017,8,,Jersey City,34-017-1002,AQS,44,,IS 52,36-005-0110,AQS,32,,MT NINHAM,36-079-0005,AQS,38,,Intermediate School 143,36-061-0115,AQS,3,,IS 52,36-005-0110,AQS,10,,DIVISION STREET,36-061-0134,AQS
1/26/2017,10,,Jersey City,34-017-1002,AQS,47,,Jersey City,34-017-1002,AQS,35,,MT NINHAM,36-079-0005,AQS,63,,NEWBURGH,36-071-0002,AQS,6,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/27/2017,6,,Jersey City,34-017-1002,AQS,23,,Bayonne,34-017-0006,AQS,30,,MILLBROOK,36-027-0007,AQS,38,,Intermediate School 143,36-061-0115,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/28/2017,6,,Jersey City,34-017-1002,AQS,29,,Fort Lee Near Road,34-003-0010,AQS,28,,MILLBROOK,36-027-0007,AQS,36,,Newark Firehouse,34-013-0003,AQS,1,,IS 52,36-005-0110,AQS,,,,,
